seq1	>ref-NC_002797.1 Discula destructiva virus 1 segment 1, complete genome-table6-Partitiviridae-HMM91-516_71.0-ORF20
seq649	>tsa-GFHZ01026653.1 TSA: Saccharum SUG_denovo_0622675 transcribed RNA sequence-table1-Partitiviridae-HMM3-106_91.0-ORF5
seq650	>tsa-GFHZ01053834.1 (REVERSE SENSE) TSA: Saccharum SUG_denovo_0323809 transcribed RNA sequence-table6-Partitiviridae-HMM185-397_53.0-ORF34
seq651	>tsa-GFHZ01060313.1 TSA: Saccharum SUG_denovo_0613031 transcribed RNA sequence-table6-Partitiviridae-HMM4-153_96.0-ORF8
seq652	>tsa-GFHZ01073631.1 (REVERSE SENSE) TSA: Saccharum SUG_denovo_0356613 transcribed RNA sequence-table1-Partitiviridae-HMM5-188_97.0-ORF17
seq653	>tsa-GFHZ01080422.1 (REVERSE SENSE) TSA: Saccharum SUG_denovo_0023883 transcribed RNA sequence-table1-Partitiviridae-HMM12-107_76.0-ORF7
seq654	>tsa-GFHZ01110365.1 TSA: Saccharum SUG_denovo_0154777 transcribed RNA sequence-table6-Partitiviridae-HMM91-261_64.0-ORF9
seq655	>tsa-GFHZ01113195.1 TSA: Saccharum SUG_denovo_0298932 transcribed RNA sequence-table1-Partitiviridae-HMM231-595_61.0-ORF24
seq656	>tsa-GFHZ01113202.1 (REVERSE SENSE) TSA: Saccharum SUG_denovo_0306319 transcribed RNA sequence-table1-Partitiviridae-HMM1-143_98.0-ORF11
seq657	>tsa-GFLP01011494.1 (REVERSE SENSE) TSA: Saccharum hybrid cultivar SUGdenovo-0010039 transcribed RNA sequence-table1-Partitiviridae-HMM1-152_99.0-ORF12
seq658	>tsa-GFLP01024878.1 (REVERSE SENSE) TSA: Saccharum hybrid cultivar SUGdenovo-0023883 transcribed RNA sequence-table1-Partitiviridae-HMM12-107_76.0-ORF7
seq659	>tsa-GFLP01086778.1 (REVERSE SENSE) TSA: Saccharum hybrid cultivar SUGdenovo-0086161 transcribed RNA sequence-table1-Partitiviridae-HMM1-128_97.0-ORF12
seq660	>tsa-GFLP01155027.1 TSA: Saccharum hybrid cultivar SUGdenovo-0154777 transcribed RNA sequence-table6-Partitiviridae-HMM91-261_64.0-ORF9
seq661	>tsa-GFLP01286259.1 (REVERSE SENSE) TSA: Saccharum hybrid cultivar SUGdenovo-0286612 transcribed RNA sequence-table4-Partitiviridae-HMM1-168_76.0-ORF15
seq662	>tsa-GFLP01297685.1 TSA: Saccharum hybrid cultivar SUGdenovo-0298932 transcribed RNA sequence-table1-Partitiviridae-HMM231-595_61.0-ORF24
seq663	>tsa-GFLP01300352.1 (REVERSE SENSE) TSA: Saccharum hybrid cultivar SUGdenovo-0301914 transcribed RNA sequence-table6-Partitiviridae-HMM10-118_63.0-ORF13
seq664	>tsa-GFLP01304271.1 (REVERSE SENSE) TSA: Saccharum hybrid cultivar SUGdenovo-0306319 transcribed RNA sequence-table1-Partitiviridae-HMM1-143_98.0-ORF11
seq665	>tsa-GFLP01311160.1 (REVERSE SENSE) TSA: Saccharum hybrid cultivar SUGdenovo-0313860 transcribed RNA sequence-table6-Partitiviridae-HMM1-145_57.0-ORF23
seq666	>tsa-GFLP01312171.1 (REVERSE SENSE) TSA: Saccharum hybrid cultivar SUGdenovo-0314961 transcribed RNA sequence-table1-Partitiviridae-HMM5-105_78.0-ORF11
seq667	>tsa-GFLP01320733.1 (REVERSE SENSE) TSA: Saccharum hybrid cultivar SUGdenovo-0323809 transcribed RNA sequence-table6-Partitiviridae-HMM185-397_53.0-ORF34
seq668	>tsa-GFLP01325004.1 (REVERSE SENSE) TSA: Saccharum hybrid cultivar SUGdenovo-0328232 transcribed RNA sequence-table6-Partitiviridae-HMM17-466_81.0-ORF71
seq669	>tsa-GFLP01350051.1 (REVERSE SENSE) TSA: Saccharum hybrid cultivar SUGdenovo-0356613 transcribed RNA sequence-table1-Partitiviridae-HMM5-188_97.0-ORF17
seq670	>tsa-GFLP01353721.1 (REVERSE SENSE) TSA: Saccharum hybrid cultivar SUGdenovo-0360720 transcribed RNA sequence-table1-Partitiviridae-HMM102-181_43.0-ORF15
seq671	>tsa-GFLP01491051.1 (REVERSE SENSE) TSA: Saccharum hybrid cultivar SUGdenovo-0502144 transcribed RNA sequence-table6-Partitiviridae-HMM64-525_75.0-ORF52
seq672	>tsa-GAIA01045689.1 TSA: Salicornia europaea Unigene52880_Se200S transcribed RNA sequence-table1-Partitiviridae-HMM1-70_95.0-ORF2
seq673	>tsa-GAIA01056562.1 TSA: Salicornia europaea Unigene66780_Se200S transcribed RNA sequence-table1-Partitiviridae-HMM2-100_89.0-ORF5
seq674	>tsa-GBPQ01010833.1 TSA: Sapygina decemguttata C64927_a_22_0_l_1427 transcribed RNA sequence-table1-Partitiviridae-HMM34-434_84.0-ORF19
seq675	>tsa-GBPQ01018951.1 (REVERSE SENSE) TSA: Sapygina decemguttata s5662_L_13127_0_a_34_9_l_1414 transcribed RNA sequence-table4-Partitiviridae-HMM52-325_58.0-ORF30
seq676	>tsa-GCJW01045242.1 (REVERSE SENSE) TSA: Secale cereale isotig42115 transcribed RNA sequence-table6-Partitiviridae-HMM178-353_49.0-ORF26
seq677	>tsa-GCJW01045267.1 (REVERSE SENSE) TSA: Secale cereale isotig41947 transcribed RNA sequence-table1-Partitiviridae-HMM18-148_87.0-ORF15
seq678	>tsa-GDJF01006075.1 TSA: Silene conica Sconica_KEWF_c5005_g1_i1 transcribed RNA sequence-table6-Partitiviridae-HMM58-540_76.0-ORF23
seq679	>tsa-GFCG01066758.1 TSA: Silene dioica TR29652_c0_g1_i1 transcribed RNA sequence-table6-Partitiviridae-HMM65-482_81.0-ORF19
seq680	>tsa-GEYV01001603.1 TSA: Silene grisebachii c2010_g1_i1 transcribed RNA sequence-table6-Partitiviridae-HMM66-476_77.0-ORF16
seq681	>tsa-GEYV01039044.1 TSA: Silene grisebachii c31307_g1_i1 transcribed RNA sequence-table6-Partitiviridae-HMM4-264_84.0-ORF8
seq682	>tsa-GEYV01039045.1 TSA: Silene grisebachii c31307_g2_i1 transcribed RNA sequence-table6-Partitiviridae-HMM75-238_68.0-ORF9
seq683	>tsa-GEYV01124023.1 (REVERSE SENSE) TSA: Silene grisebachii c57736_g1_i1 transcribed RNA sequence-table1-Partitiviridae-HMM2-68_95.0-ORF8
seq684	>tsa-GAKJ01002771.1 TSA: Sitodiplosis mosellana Unigene6119_S_mosellanaA transcribed RNA sequence-table6-Partitiviridae-HMM150-319_52.0-ORF15
seq685	>tsa-GAKJ01008683.1 TSA: Sitodiplosis mosellana Unigene16836_S_mosellanaA transcribed RNA sequence-table6-Partitiviridae-HMM174-651_62.0-ORF16
seq686	>tsa-GBRL01005804.1 TSA: Sitodiplosis mosellana Unigene36987_S_mosellanaA transcribed RNA sequence-table6-Partitiviridae-HMM2-311_71.0-ORF9
seq687	>tsa-GALQ01034176.1 TSA: gut metagenome Locus17870v1rpkm34.23 transcribed RNA sequence-table6-Partitiviridae-HMM320-459_25.0-ORF20
seq688	>tsa-GBDO01042791.1 TSA: Kerria lacca L_27642_T_1/1_C_1.000_L_1106 transcribed RNA sequence-table4-Partitiviridae-HMM13-113_44.0-ORF9
seq689	>tsa-GBDP01024373.1 TSA: Kerria lacca L_5018_T_3/3_C_0.750_L_8603 transcribed RNA sequence-table4-Partitiviridae-HMM13-113_44.0-ORF124
seq690	>tsa-GBDP01037841.1 TSA: Kerria lacca L_5018_T_1/3_C_0.500_L_4652 transcribed RNA sequence-table4-Partitiviridae-HMM13-113_44.0-ORF52
seq691	>tsa-GAIC01004749.1 TSA: Solanum torvum tor5_c4749 transcribed RNA sequence-table4-Partitiviridae-HMM7-132_74.0-ORF7
seq692	>tsa-GAUZ02014884.1 (REVERSE SENSE) TSA: Stenobothrus lineatus C179990_a_3_0_l_265 transcribed RNA sequence-table4-Partitiviridae-HMM14-84_79.0-ORF10
seq693	>tsa-GBMU01041018.1 (REVERSE SENSE) TSA: Stephanus serrator s5200_L_9913_0_a_3_0_l_1745 transcribed RNA sequence-table6-Partitiviridae-HMM253-503_47.0-ORF43
seq694	>tsa-GANE01012071.1 TSA: Stevia rebaudiana SteviaLeaf_m18504 transcribed RNA sequence-table4-Partitiviridae-HMM5-193_95.0-ORF8
seq695	>tsa-GANE01024292.1 TSA: Stevia rebaudiana SteviaLeaf_m18503 transcribed RNA sequence-table4-Partitiviridae-HMM6-417_96.0-ORF18
seq696	>tsa-GANE01024842.1 TSA: Stevia rebaudiana SteviaLeaf_m18502 transcribed RNA sequence-table6-Partitiviridae-HMM6-417_91.0-ORF15
seq697	>tsa-GDIM01029705.1 TSA: Stomoxys calcitrans Stomoxys29706 transcribed RNA sequence-table4-Partitiviridae-HMM143-431_64.0-ORF17
seq698	>tsa-GFJE01003636.1 TSA: Taraxacum kok-saghyz comp17305_c0_seq1 transcribed RNA sequence-table6-Partitiviridae-HMM69-484_78.0-ORF19
seq699	>tsa-GFJE01030246.1 (REVERSE SENSE) TSA: Taraxacum kok-saghyz comp31492_c0_seq1 transcribed RNA sequence-table6-Partitiviridae-HMM96-563_72.0-ORF48
seq700	>tsa-GFGL01041666.1 (REVERSE SENSE) TSA: Tectona grandis TR135565_c0_g1_i1 transcribed RNA sequence-table6-Partitiviridae-HMM77-255_54.0-ORF23
seq701	>tsa-GBBP01108783.1 (REVERSE SENSE) TSA: Teleopsis dalmanni Td_comp162427_c0_seq1 transcribed RNA sequence-table4-Partitiviridae-HMM29-243_87.0-ORF54
seq702	>tsa-GBBP01108784.1 (REVERSE SENSE) TSA: Teleopsis dalmanni Td_comp162427_c0_seq10 transcribed RNA sequence-table4-Partitiviridae-HMM29-243_87.0-ORF40
seq703	>tsa-GBBP01108785.1 (REVERSE SENSE) TSA: Teleopsis dalmanni Td_comp162427_c0_seq11 transcribed RNA sequence-table4-Partitiviridae-HMM28-147_76.0-ORF38
seq704	>tsa-GBBP01108786.1 (REVERSE SENSE) TSA: Teleopsis dalmanni Td_comp162427_c0_seq12 transcribed RNA sequence-table4-Partitiviridae-HMM28-147_76.0-ORF38
seq705	>tsa-GBBP01108787.1 (REVERSE SENSE) TSA: Teleopsis dalmanni Td_comp162427_c0_seq13 transcribed RNA sequence-table6-Partitiviridae-HMM8-245_94.0-ORF26
seq706	>tsa-GBBP01108788.1 (REVERSE SENSE) TSA: Teleopsis dalmanni Td_comp162427_c0_seq14 transcribed RNA sequence-table6-Partitiviridae-HMM8-246_95.0-ORF26
seq707	>tsa-GBBP01108789.1 (REVERSE SENSE) TSA: Teleopsis dalmanni Td_comp162427_c0_seq15 transcribed RNA sequence-table4-Partitiviridae-HMM7-141_89.0-ORF27
seq708	>tsa-GBBP01108790.1 (REVERSE SENSE) TSA: Teleopsis dalmanni Td_comp162427_c0_seq16 transcribed RNA sequence-table4-Partitiviridae-HMM7-141_89.0-ORF27
seq709	>tsa-GBBP01108794.1 (REVERSE SENSE) TSA: Teleopsis dalmanni Td_comp162427_c0_seq2 transcribed RNA sequence-table4-Partitiviridae-HMM29-243_87.0-ORF54
seq710	>tsa-GBBP01108796.1 (REVERSE SENSE) TSA: Teleopsis dalmanni Td_comp162427_c0_seq3 transcribed RNA sequence-table4-Partitiviridae-HMM28-147_76.0-ORF52
seq711	>tsa-GBBP01108797.1 (REVERSE SENSE) TSA: Teleopsis dalmanni Td_comp162427_c0_seq4 transcribed RNA sequence-table4-Partitiviridae-HMM28-147_76.0-ORF52
seq712	>tsa-GBBP01108798.1 (REVERSE SENSE) TSA: Teleopsis dalmanni Td_comp162427_c0_seq5 transcribed RNA sequence-table4-Partitiviridae-HMM29-243_87.0-ORF53
seq713	>tsa-GBBP01108799.1 (REVERSE SENSE) TSA: Teleopsis dalmanni Td_comp162427_c0_seq6 transcribed RNA sequence-table4-Partitiviridae-HMM29-243_87.0-ORF53
seq714	>tsa-GBBP01108800.1 (REVERSE SENSE) TSA: Teleopsis dalmanni Td_comp162427_c0_seq7 transcribed RNA sequence-table4-Partitiviridae-HMM28-147_76.0-ORF51
seq715	>tsa-GBBP01108801.1 (REVERSE SENSE) TSA: Teleopsis dalmanni Td_comp162427_c0_seq8 transcribed RNA sequence-table4-Partitiviridae-HMM28-147_76.0-ORF51
seq716	>tsa-GBBP01108802.1 (REVERSE SENSE) TSA: Teleopsis dalmanni Td_comp162427_c0_seq9 transcribed RNA sequence-table4-Partitiviridae-HMM29-243_87.0-ORF40
seq717	>tsa-GAWW02016876.1 TSA: Tenthredo koehleri C73903_a_10_0_l_2319 transcribed RNA sequence-table6-Partitiviridae-HMM160-649_63.0-ORF24
seq718	>tsa-GASM01032271.1 TSA: Tetramorium bicarinatum Tb33261 transcribed RNA sequence-table6-Partitiviridae-HMM178-376_45.0-ORF12
seq719	>tsa-GAXC02002150.1 TSA: Thrips palmi C37278_a_3_0_l_245 transcribed RNA sequence-table4-Partitiviridae-HMM2-81_97.0-ORF4
seq720	>tsa-GCHA01047740.1 TSA: Tigriopus japonicus TJ_CDS_47743 transcribed RNA sequence-table6-Partitiviridae-HMM41-500_81.0-ORF16
seq721	>tsa-GBWN01016556.1 TSA: Tiphia femorata C97543_a_25_0_l_7577 transcribed RNA sequence-table6-Partitiviridae-HMM198-424_52.0-ORF17
seq722	>tsa-GAWX02010400.1 TSA: Trialeurodes vaporariorum C131616_a_5_0_l_453 transcribed RNA sequence-table6-Partitiviridae-HMM18-100_54.0-ORF4
seq723	>tsa-GAWX02011994.1 TSA: Trialeurodes vaporariorum C136792_a_7_0_l_497 transcribed RNA sequence-table4-Partitiviridae-HMM3-164_97.0-ORF7
seq724	>tsa-GAVA02000230.1 TSA: Triarthria setipennis C100909_a_13_0_l_1424 transcribed RNA sequence-table6-Partitiviridae-HMM20-417_83.0-ORF17
seq725	>tsa-GAOU01040133.1 TSA: Trifolium pratense RC.40966 transcribed RNA sequence-table4-Partitiviridae-HMM155-644_64.0-ORF26
seq726	>tsa-GFAL01022779.1 (REVERSE SENSE) TSA: Allium chinense c91814_g3 transcribed RNA sequence-table6-Partitiviridae-HMM4-100_83.0-ORF7
seq727	>tsa-GEEY01016471.1 TSA: Cephus cinctus Ccin_ant_Roche_itg17014_gig07181_l539_nC1 transcribed RNA sequence-table6-Partitiviridae-HMM4-156_84.0-ORF6
seq728	>tsa-GBOK01030507.1 TSA: Meria tripunctata s22264_L_15412_0_a_55_2_l_1274 transcribed RNA sequence-table6-Partitiviridae-HMM73-253_71.0-ORF10
seq729	>tsa-GBVL01012566.1 TSA: Passaloecus eremita C71967_a_12_0_l_1000 transcribed RNA sequence-table6-Partitiviridae-HMM49-198_70.0-ORF10
seq730	>tsa-GFFR01010818.1 (REVERSE SENSE) TSA: Phlox drummondii DruB@c76094_g1_i1 transcribed RNA sequence-table6-Partitiviridae-HMM2-63_51.0-ORF22
seq731	>tsa-GFTX01031971.1 (REVERSE SENSE) TSA: Ulva lactuca c27841_g1_i1 transcribed RNA sequence-table6-Partitiviridae-HMM13-417_85.0-ORF41
seq732	>tsa-GFTX01063405.1 (REVERSE SENSE) TSA: Ulva lactuca c33025_g1_i1 transcribed RNA sequence-table6-Partitiviridae-HMM159-454_53.0-ORF42
seq733	>tsa-GFUR01075383.1 (REVERSE SENSE) TSA: Ulva lactuca c43182_g1_i1 transcribed RNA sequence-table6-Partitiviridae-HMM158-453_53.0-ORF43
seq734	>tsa-GETM01141213.1 (REVERSE SENSE) TSA: Varroa jacobsoni comp116555_c0_seq1 transcribed RNA sequence-table6-Partitiviridae-HMM208-508_48.0-ORF35
seq735	>tsa-GETP01226337.1 (REVERSE SENSE) TSA: Varroa jacobsoni comp116555_c0_seq1 transcribed RNA sequence-table6-Partitiviridae-HMM208-508_48.0-ORF35
seq736	>tsa-GAUO02018747.1 (REVERSE SENSE) TSA: Velia caprai C96297_a_12_0_l_1716 transcribed RNA sequence-table6-Partitiviridae-HMM322-493_29.0-ORF44
seq737	>tsa-GARZ01007608.1 TSA: Vicia faba contig08575 transcribed RNA sequence-table6-Partitiviridae-HMM179-563_67.0-ORF12
seq738	>tsa-GAUI02026234.1 TSA: Xanthostigma xanthostigma C184268_a_3_0_l_354 transcribed RNA sequence-table6-Partitiviridae-HMM33-113_68.0-ORF2
seq739	>tsa-GBWJ01017416.1 TSA: Xiphydria camelus C98275_a_18_0_l_1382 transcribed RNA sequence-table6-Partitiviridae-HMM103-323_48.0-ORF12
seq740	>tsa-GBUM01011749.1 (REVERSE SENSE) TSA: Xylocopa violacea C55098_a_12_0_l_1046 transcribed RNA sequence-table6-Partitiviridae-HMM23-110_73.0-ORF24
