seq1	>ref-NC_004049.1 Ophiostoma mitovirus 3a, complete genome-table4-Narnaviridae-HMM157-525_50.0-ORF27
seq635	>tsa-GEZT01078267.1 TSA: Solanum prinophyllum c26692_g2_i1 transcribed RNA sequence-table6-Narnaviridae-HMM80-218_60.0-ORF65
seq636	>tsa-GEZT01100012.1 (REVERSE SENSE) TSA: Solanum prinophyllum c27529_g1_i1 transcribed RNA sequence-table4-Narnaviridae-HMM12-77_75.0-ORF40
seq637	>tsa-GEZT01100017.1 (REVERSE SENSE) TSA: Solanum prinophyllum c27529_g1_i2 transcribed RNA sequence-table4-Narnaviridae-HMM12-77_75.0-ORF47
seq638	>tsa-GEZT01100021.1 (REVERSE SENSE) TSA: Solanum prinophyllum c27529_g1_i3 transcribed RNA sequence-table4-Narnaviridae-HMM12-77_75.0-ORF36
seq639	>tsa-GEZT01100630.1 (REVERSE SENSE) TSA: Solanum prinophyllum c27552_g5_i1 transcribed RNA sequence-table6-Narnaviridae-HMM389-473_17.0-ORF57
seq640	>tsa-GEZT01100640.1 (REVERSE SENSE) TSA: Solanum prinophyllum c27552_g13_i1 transcribed RNA sequence-table4-Narnaviridae-HMM16-143_45.0-ORF37
seq641	>tsa-GEZT01100641.1 (REVERSE SENSE) TSA: Solanum prinophyllum c27552_g13_i2 transcribed RNA sequence-table4-Narnaviridae-HMM16-143_45.0-ORF27
seq642	>tsa-GEZT01100643.1 (REVERSE SENSE) TSA: Solanum prinophyllum c27552_g13_i3 transcribed RNA sequence-table6-Narnaviridae-HMM16-143_40.0-ORF18
seq643	>tsa-GEZT01100645.1 (REVERSE SENSE) TSA: Solanum prinophyllum c27552_g13_i4 transcribed RNA sequence-table4-Narnaviridae-HMM16-143_45.0-ORF38
seq644	>tsa-GEZT01109183.1 TSA: Solanum prinophyllum c27863_g9_i10 transcribed RNA sequence-table6-Narnaviridae-HMM23-71_27.0-ORF4
seq645	>tsa-GEZT01113895.1 (REVERSE SENSE) TSA: Solanum prinophyllum c28041_g2_i1 transcribed RNA sequence-table6-Narnaviridae-HMM78-287_55.0-ORF32
seq646	>tsa-GEZT01113909.1 (REVERSE SENSE) TSA: Solanum prinophyllum c28041_g4_i3 transcribed RNA sequence-table6-Narnaviridae-HMM1-100_58.0-ORF34
seq647	>tsa-GEZT01113923.1 (REVERSE SENSE) TSA: Solanum prinophyllum c28041_g12_i1 transcribed RNA sequence-table6-Narnaviridae-HMM1-81_35.0-ORF49
seq648	>tsa-GEZT01153703.1 TSA: Solanum prinophyllum c40975_g1_i1 transcribed RNA sequence-table6-Narnaviridae-HMM7-102_55.0-ORF4
seq649	>tsa-GCVE01037419.1 TSA: Suaeda fruticosa Locus_53510_Transcript_1/62024 transcribed RNA sequence-table6-Narnaviridae-HMM5-208_46.0-ORF17
seq650	>tsa-GCVE01039710.1 TSA: Suaeda fruticosa Locus_57460_Transcript_1/65255 transcribed RNA sequence-table4-Narnaviridae-HMM138-259_46.0-ORF11
seq651	>tsa-GFHK01004019.1 TSA: Syzygium luehmannii TRINITY_DN24949_c1_g5_i1 transcribed RNA sequence-table6-Narnaviridae-HMM289-493_39.0-ORF17
seq652	>tsa-GFHK01060369.1 TSA: Syzygium luehmannii TRINITY_DN44151_c0_g1_i1 transcribed RNA sequence-table6-Narnaviridae-HMM123-168_21.0-ORF4
seq653	>tsa-GFHL01074068.1 TSA: Syzygium luehmannii TRINITY_DN26340_c2_g1_i1 transcribed RNA sequence-table6-Narnaviridae-HMM242-446_42.0-ORF15
seq654	>tsa-GFHM01046002.1 (REVERSE SENSE) TSA: Syzygium luehmannii TRINITY_DN46000_c2_g3_i1 transcribed RNA sequence-table6-Narnaviridae-HMM246-450_42.0-ORF66
seq655	>tsa-GFHN01036699.1 TSA: Syzygium luehmannii TRINITY_DN62947_c0_g1_i1 transcribed RNA sequence-table6-Narnaviridae-HMM3-82_95.0-ORF5
seq656	>tsa-GFHN01046245.1 (REVERSE SENSE) TSA: Syzygium luehmannii TRINITY_DN33618_c0_g1_i1 transcribed RNA sequence-table6-Narnaviridae-HMM9-103_67.0-ORF27
seq657	>tsa-GFHN01058655.1 TSA: Syzygium luehmannii TRINITY_DN30331_c2_g3_i1 transcribed RNA sequence-table6-Narnaviridae-HMM244-448_42.0-ORF15
seq658	>tsa-GFHN01061131.1 TSA: Syzygium luehmannii TRINITY_DN3077_c1_g1_i1 transcribed RNA sequence-table4-Narnaviridae-HMM26-85_68.0-ORF5
seq659	>tsa-GFHN01108345.1 (REVERSE SENSE) TSA: Syzygium luehmannii TRINITY_DN34015_c0_g1_i1 transcribed RNA sequence-table4-Narnaviridae-HMM5-67_91.0-ORF6
seq660	>tsa-GFHO01008269.1 TSA: Syzygium luehmannii TRINITY_DN26097_c0_g2_i1 transcribed RNA sequence-table6-Narnaviridae-HMM248-452_42.0-ORF15
seq661	>tsa-GFHO01009566.1 TSA: Syzygium luehmannii TRINITY_DN38012_c0_g1_i1 transcribed RNA sequence-table6-Narnaviridae-HMM1-68_95.0-ORF3
seq662	>tsa-GFHS01031606.1 (REVERSE SENSE) TSA: Syzygium luehmannii TRINITY_DN3151_c0_g1_i1 transcribed RNA sequence-table6-Narnaviridae-HMM38-155_60.0-ORF20
seq663	>tsa-GFHS01053058.1 TSA: Syzygium luehmannii TRINITY_DN27897_c3_g1_i1 transcribed RNA sequence-table6-Narnaviridae-HMM224-428_44.0-ORF14
seq664	>tsa-GFHT01032095.1 TSA: Syzygium luehmannii TRINITY_DN50526_c0_g1_i1 transcribed RNA sequence-table6-Narnaviridae-HMM11-105_66.0-ORF4
seq665	>tsa-GFHT01078952.1 (REVERSE SENSE) TSA: Syzygium luehmannii TRINITY_DN36303_c0_g4_i1 transcribed RNA sequence-table6-Narnaviridae-HMM245-449_42.0-ORF73
seq666	>tsa-GFMF01088411.1 TSA: Syzygium luehmannii TRINITY_DN45104_c0_g1_i1 transcribed RNA sequence-table6-Narnaviridae-HMM244-448_42.0-ORF15
seq667	>tsa-GFMF01088412.1 TSA: Syzygium luehmannii TRINITY_DN45104_c0_g1_i2 transcribed RNA sequence-table6-Narnaviridae-HMM244-448_42.0-ORF15
seq668	>tsa-GBBP01132666.1 TSA: Teleopsis dalmanni Td_comp1951709_c0_seq1 transcribed RNA sequence-table4-Narnaviridae-HMM367-613_38.0-ORF21
seq669	>tsa-GAXI02000066.1 TSA: Tetrodontophora bielanensis C100170_a_4_0_l_253 transcribed RNA sequence-table4-Narnaviridae-HMM1-79_92.0-ORF4
seq670	>tsa-GFST01110930.1 (REVERSE SENSE) TSA: Toxicodendron radicans subsp. radicans TRINITY_DN24335_c0_g5_i1 transcribed RNA sequence-table6-Narnaviridae-HMM28-207_69.0-ORF165
seq671	>tsa-GFKW01009862.1 (REVERSE SENSE) TSA: Trigonella foenum-graecum comp8769_c0_seq1 transcribed RNA sequence-table4-Narnaviridae-HMM22-78_52.0-ORF12
seq672	>tsa-GFLQ01002947.1 (REVERSE SENSE) TSA: Trigonella foenum-graecum comp2863_c0_seq1 transcribed RNA sequence-table4-Narnaviridae-HMM22-78_52.0-ORF12
seq673	>tsa-GFLR01004327.1 TSA: Trigonella foenum-graecum comp38691_c0_seq1 transcribed RNA sequence-table4-Narnaviridae-HMM23-79_66.0-ORF4
seq674	>tsa-GFLS01008333.1 (REVERSE SENSE) TSA: Trigonella foenum-graecum comp8032_c0_seq1 transcribed RNA sequence-table4-Narnaviridae-HMM22-78_52.0-ORF12
seq675	>tsa-GFNH01000399.1 TSA: Trigonella foenum-graecum comp468_c0_seq1 transcribed RNA sequence-table4-Narnaviridae-HMM21-77_53.0-ORF6
seq676	>tsa-GAVZ01025291.1 TSA: Tripterygium wilfordii comp242161_c0_seq1 transcribed RNA sequence-table4-Narnaviridae-HMM89-148_39.0-ORF7
seq677	>tsa-GBHI01039325.1 TSA: Camellia oleifera ColeSingleton52693 transcribed RNA sequence-table6-Narnaviridae-HMM2-91_54.0-ORF4
seq678	>tsa-GEFY01001589.1 (REVERSE SENSE) TSA: Camellia oleifera Unigene01589 transcribed RNA sequence-table6-Narnaviridae-HMM1-106_53.0-ORF30
seq679	>tsa-GFMV01164261.1 (REVERSE SENSE) TSA: Camellia sinensis c5424.graph_c0 transcribed RNA sequence-table6-Narnaviridae-HMM1-104_78.0-ORF12
seq680	>tsa-GDAX01053591.1 (REVERSE SENSE) TSA: Carya cathayensis Unigene053644 transcribed RNA sequence-table6-Narnaviridae-HMM65-152_57.0-ORF167
seq681	>tsa-GDAX01070590.1 (REVERSE SENSE) TSA: Carya cathayensis Unigene070686 transcribed RNA sequence-table6-Narnaviridae-HMM51-134_51.0-ORF41
seq682	>tsa-GAON01128930.1 TSA: Cuscuta pentagona Cpent_contig_128996 transcribed RNA sequence-table6-Narnaviridae-HMM154-246_34.0-ORF11
seq683	>tsa-GBSJ01290243.1 TSA: Diospyros lotus Contig299470DeNovoAssembly transcribed RNA sequence-table6-Narnaviridae-HMM6-165_91.0-ORF23
seq684	>tsa-GBYK01000006.1 TSA: Gossypium arboreum cuAContig15198 transcribed RNA sequence-table6-Narnaviridae-HMM115-191_21.0-ORF15
seq685	>tsa-GEWR01075251.1 (REVERSE SENSE) TSA: Ilex paraguariensis comp105819_c0_seq3 transcribed RNA sequence-table6-Narnaviridae-HMM6-56_73.0-ORF14
seq686	>tsa-GEWR01075252.1 (REVERSE SENSE) TSA: Ilex paraguariensis comp105819_c0_seq4 transcribed RNA sequence-table6-Narnaviridae-HMM6-56_73.0-ORF16
seq687	>tsa-GBRP01076085.1 TSA: Lupinus angustifolius comp43054_c0_seq1 transcribed RNA sequence-table6-Narnaviridae-HMM4-72_86.0-ORF4
seq688	>tsa-GFBU01002434.1 (REVERSE SENSE) TSA: Rafflesia cantleyi RC_2434 transcribed RNA sequence-table6-Narnaviridae-HMM85-192_55.0-ORF26
seq689	>tsa-GEYA01061227.1 (REVERSE SENSE) TSA: Salix integra comp85065_c1 transcribed RNA sequence-table6-Narnaviridae-HMM4-78_85.0-ORF6
seq690	>tsa-GDZX01040404.1 TSA: Solanum chacoense isotig38448 transcribed RNA sequence-table6-Narnaviridae-HMM164-296_41.0-ORF13
seq691	>tsa-GEDG01014398.1 TSA: Solanum chacoense ScOT_15395 transcribed RNA sequence-table6-Narnaviridae-HMM164-296_41.0-ORF13
seq692	>tsa-GAYR01090518.1 TSA: Solanum melongena Smelongena_ramnagar437688seq1_len215 transcribed RNA sequence-table6-Narnaviridae-HMM13-71_81.0-ORF4
seq693	>tsa-GBGZ01037592.1 (REVERSE SENSE) TSA: Solanum melongena Contig39625 transcribed RNA sequence-table6-Narnaviridae-HMM3-76_94.0-ORF11
seq694	>tsa-GFMF01078043.1 TSA: Syzygium luehmannii TRINITY_DN66125_c0_g1_i1 transcribed RNA sequence-table6-Narnaviridae-HMM1-53_57.0-ORF3
seq695	>tsa-GFTX01003003.1 (REVERSE SENSE) TSA: Ulva lactuca c4342_g1_i1 transcribed RNA sequence-table6-Narnaviridae-HMM9-155_79.0-ORF18
seq696	>tsa-GFTX01005027.1 (REVERSE SENSE) TSA: Ulva lactuca c6854_g2_i1 transcribed RNA sequence-table6-Narnaviridae-HMM2-147_52.0-ORF18
seq697	>tsa-GFTX01010601.1 (REVERSE SENSE) TSA: Ulva lactuca c14272_g1_i1 transcribed RNA sequence-table6-Narnaviridae-HMM7-86_91.0-ORF6
seq698	>tsa-GFTX01010823.1 (REVERSE SENSE) TSA: Ulva lactuca c14557_g1_i1 transcribed RNA sequence-table6-Narnaviridae-HMM1-219_53.0-ORF31
seq699	>tsa-GFTX01024410.1 (REVERSE SENSE) TSA: Ulva lactuca c25068_g1_i1 transcribed RNA sequence-table6-Narnaviridae-HMM10-179_93.0-ORF11
seq700	>tsa-GFTX01027530.1 (REVERSE SENSE) TSA: Ulva lactuca c26385_g1_i1 transcribed RNA sequence-table6-Narnaviridae-HMM47-207_76.0-ORF40
seq701	>tsa-GFTX01031795.1 (REVERSE SENSE) TSA: Ulva lactuca c27795_g1_i1 transcribed RNA sequence-table6-Narnaviridae-HMM205-467_55.0-ORF36
seq702	>tsa-GFTX01031796.1 (REVERSE SENSE) TSA: Ulva lactuca c27795_g1_i2 transcribed RNA sequence-table6-Narnaviridae-HMM206-509_43.0-ORF50
seq703	>tsa-GFTX01032036.1 TSA: Ulva lactuca c27858_g1_i1 transcribed RNA sequence-table6-Narnaviridae-HMM5-119_95.0-ORF5
seq704	>tsa-GFTX01032221.1 TSA: Ulva lactuca c27924_g1_i1 transcribed RNA sequence-table6-Narnaviridae-HMM2-78_92.0-ORF22
seq705	>tsa-GFTX01038268.1 TSA: Ulva lactuca c29430_g1_i1 transcribed RNA sequence-table6-Narnaviridae-HMM7-68_88.0-ORF19
seq706	>tsa-GFTX01045659.1 TSA: Ulva lactuca c30795_g1_i1 transcribed RNA sequence-table6-Narnaviridae-HMM326-551_28.0-ORF29
seq707	>tsa-GFTX01073145.1 (REVERSE SENSE) TSA: Ulva lactuca c33913_g1_i6 transcribed RNA sequence-table6-Narnaviridae-HMM9-109_73.0-ORF62
seq708	>tsa-GFTX01080729.1 (REVERSE SENSE) TSA: Ulva lactuca c34542_g1_i1 transcribed RNA sequence-table6-Narnaviridae-HMM201-556_44.0-ORF61
seq709	>tsa-GFTX01082149.1 TSA: Ulva lactuca c34664_g1_i1 transcribed RNA sequence-table6-Narnaviridae-HMM307-521_29.0-ORF26
seq710	>tsa-GFTX01106814.1 TSA: Ulva lactuca c60325_g1_i1 transcribed RNA sequence-table6-Narnaviridae-HMM2-77_78.0-ORF7
seq711	>tsa-GFTX01116765.1 TSA: Ulva lactuca c70863_g1_i1 transcribed RNA sequence-table6-Narnaviridae-HMM22-194_87.0-ORF7
seq712	>tsa-GFTX01117076.1 TSA: Ulva lactuca c71185_g1_i1 transcribed RNA sequence-table6-Narnaviridae-HMM66-208_67.0-ORF7
seq713	>tsa-GFTX01128288.1 (REVERSE SENSE) TSA: Ulva lactuca c83061_g1_i1 transcribed RNA sequence-table6-Narnaviridae-HMM8-98_86.0-ORF10
seq714	>tsa-GFUR01001600.1 TSA: Ulva lactuca c2043_g1_i1 transcribed RNA sequence-table6-Narnaviridae-HMM47-207_76.0-ORF13
seq715	>tsa-GFUR01008794.1 TSA: Ulva lactuca c10847_g1_i1 transcribed RNA sequence-table6-Narnaviridae-HMM201-556_58.0-ORF21
seq716	>tsa-GFUR01017278.1 (REVERSE SENSE) TSA: Ulva lactuca c18628_g1_i1 transcribed RNA sequence-table6-Narnaviridae-HMM326-551_38.0-ORF45
seq717	>tsa-GFUR01036419.1 (REVERSE SENSE) TSA: Ulva lactuca c25161_g1_i1 transcribed RNA sequence-table6-Narnaviridae-HMM2-78_92.0-ORF62
seq718	>tsa-GFUR01038640.1 TSA: Ulva lactuca c25589_g1_i1 transcribed RNA sequence-table6-Narnaviridae-HMM7-68_88.0-ORF19
seq719	>tsa-GFUR01052986.1 (REVERSE SENSE) TSA: Ulva lactuca c27507_g6_i1 transcribed RNA sequence-table6-Narnaviridae-HMM9-155_79.0-ORF19
seq720	>tsa-GFUR01052989.1 (REVERSE SENSE) TSA: Ulva lactuca c27507_g6_i2 transcribed RNA sequence-table6-Narnaviridae-HMM9-155_79.0-ORF20
seq721	>tsa-GFUR01057100.1 (REVERSE SENSE) TSA: Ulva lactuca c27894_g2_i4 transcribed RNA sequence-table6-Narnaviridae-HMM9-109_73.0-ORF66
seq722	>tsa-GFUR01060619.1 TSA: Ulva lactuca c28159_g1_i1 transcribed RNA sequence-table6-Narnaviridae-HMM307-521_29.0-ORF26
seq723	>tsa-GFUR01091916.1 TSA: Ulva lactuca c60361_g1_i1 transcribed RNA sequence-table6-Narnaviridae-HMM1-84_95.0-ORF5
seq724	>tsa-GACI01001760.1 (REVERSE SENSE) TSA: Uromyces appendiculatus Ua_contig00075 mRNA sequence-table6-Narnaviridae-HMM1-133_71.0-ORF56
seq725	>tsa-GACI01005114.1 TSA: Uromyces appendiculatus Ua_contig00453 mRNA sequence-table6-Narnaviridae-HMM4-148_64.0-ORF6
seq726	>tsa-GACI01005710.1 (REVERSE SENSE) TSA: Uromyces appendiculatus Ua_contig00807 mRNA sequence-table6-Narnaviridae-HMM16-196_91.0-ORF55
seq727	>tsa-GEVS01068555.1 (REVERSE SENSE) TSA: Veronica planopetiolata plano_c37926_g1_i1 transcribed RNA sequence-table6-Narnaviridae-HMM6-156_96.0-ORF18
seq728	>tsa-GBXO01001152.1 TSA: Vigna radiata Vr34844_c0 transcribed RNA sequence-table6-Narnaviridae-HMM51-121_46.0-ORF37
seq729	>tsa-GBXO01056799.1 (REVERSE SENSE) TSA: Vigna radiata Vr1598576_c0 transcribed RNA sequence-table6-Narnaviridae-HMM5-81_93.0-ORF8
seq730	>tsa-GDKT01036505.1 TSA: Vigna unguiculata subsp. sesquipedalis c48696.graph_c0 transcribed RNA sequence-table6-Narnaviridae-HMM51-121_46.0-ORF39
seq731	>tsa-GDKT01073620.1 TSA: Vigna unguiculata subsp. sesquipedalis c87145.graph_c0 transcribed RNA sequence-table6-Narnaviridae-HMM2-62_96.0-ORF3
seq732	>tsa-GBHJ01031537.1 TSA: Withania somnifera transcript_31538 transcribed RNA sequence-table6-Narnaviridae-HMM16-122_73.0-ORF11
seq733	>tsa-GDGH01033280.1 (REVERSE SENSE) TSA: Zenia insignis c44610.graph_c1 transcribed RNA sequence-table6-Narnaviridae-HMM19-88_61.0-ORF44
seq734	>tsa-GDGH01074441.1 TSA: Zenia insignis c81151.graph_c0 transcribed RNA sequence-table6-Narnaviridae-HMM28-152_74.0-ORF5
seq735	>tsa-GEUP01001390.1 TSA: Zenia insignis c103887.graph_c0 transcribed RNA sequence-table6-Narnaviridae-HMM9-131_74.0-ORF5
seq736	>tsa-GEUP01022688.1 (REVERSE SENSE) TSA: Zenia insignis c47436.graph_c0 transcribed RNA sequence-table6-Narnaviridae-HMM19-104_77.0-ORF43
seq737	>tsa-GEUP01054910.1 (REVERSE SENSE) TSA: Zenia insignis c82444.graph_c0 transcribed RNA sequence-table6-Narnaviridae-HMM47-107_54.0-ORF10
seq738	>tsa-GEUP01059942.1 (REVERSE SENSE) TSA: Zenia insignis c91035.graph_c0 transcribed RNA sequence-table6-Narnaviridae-HMM66-179_60.0-ORF19
seq739	>tsa-HACV01002003.1 TSA: Zostera noltei, contig Zn_2003, transcribed RNA sequence-table6-Narnaviridae-HMM375-647_27.0-ORF32
seq740	>tsa-HACV01003050.1 TSA: Zostera noltei, contig Zn_3050, transcribed RNA sequence-table6-Narnaviridae-HMM440-690_29.0-ORF21
